;product;area;room;bath;garage;adress;price
13;Sala/Conjunto com Quarto para Aluguel, 52m²;200;1 Quarto;1 Banheiro;-- Vaga;Rua Jerônimo Coelho, 280 - Centro, Florianópolis - SC;R$ 1.500 /mês
14;Imóvel comercial para Aluguel, 40m²;800 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Conselheiro Mafra, 220 - Centro, Florianópolis - SC;R$ 600 /mês
15;Apartamento com Quarto para Aluguel, 46m²;800;1 Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 1.600 /mês
16;Imóvel comercial para Aluguel, 182m²;10 m²;-- Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 10.971 /mês
17;Ponto comercial/Loja/Box para Aluguel, 67m²;10;-- Quarto;-- Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 6.052 /mês
18;Ponto comercial/Loja/Box com Quarto para Aluguel, 120m²;35 m²;1 Quarto;2 Banheiros;6 Vagas;Avenida Santa Catarina, 1313 - Balneário, Florianópolis - SC;R$ 4.100 /mês
19;Casa com 3 Quartos para Aluguel, 120m²;35;3 Quartos;2 Banheiros;2 Vagas;Campeche, Florianópolis - SC;R$ 4.000 /mês
20;Casa com 3 Quartos para Aluguel, 280m²;450 m²;3 Quartos;4 Banheiros;2 Vagas;Santa Mônica, Florianópolis - SC;R$ 6.200 /mês
21;Apartamento com 2 Quartos à Venda/Aluguel 66m²;450;2 Quartos;2 Banheiros;1 Vaga;Rua Acary Margarida, 522 - Canasvieiras, Florianópolis - SC;"R$ 650 /dia
R$ 680.000"
22;Cobertura com 4 Quartos para Aluguel, 210m²;40 m²;4 Quartos;4 Banheiros;2 Vagas;Rua Luiz Elias Daux, 723 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 5.340 /mês
23;Apartamento com 2 Quartos para Aluguel, 85m²;40;2 Quartos;2 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 550 /dia
24;Sala/Conjunto para Aluguel, 33m²;72 m²;-- Quarto;2 Banheiros;1 Vaga;Rua Jaci Albino da Silva - Barreiros, São José - SC;R$ 2.100 /mês
25;Casa com 5 Quartos para Aluguel, 400m²;72;5 Quartos;6 Banheiros;4 Vagas;Rua dos Meros - Jurerê Internacional, Florianópolis - SC;R$ 2.500 /dia
26;Casa com 4 Quartos para Aluguel, 350m²;52 m²;4 Quartos;5 Banheiros;5 Vagas;Joao Paulo, Florianópolis - SC;R$ 8.800 /mês
27;Casa com 5 Quartos para Aluguel, 250m²;52;5 Quartos;4 Banheiros;2 Vagas;Servidão Aconchego - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 1.150 /dia
28;Apartamento com 2 Quartos para Aluguel, 80m²;40 m²;2 Quartos;1 Banheiro;-- Vaga;Rua Francisco Goulart, 103 - Trindade, Florianópolis - SC;R$ 1.500 /mês
29;Sala/Conjunto para Aluguel, 36m²;40;-- Quarto;1 Banheiro;1 Vaga;Rua Lauro Linhares - Trindade, Florianópolis - SC;R$ 1.905 /mês
30;Apartamento com 2 Quartos para Aluguel, 72m²;46 m²;2 Quartos;2 Banheiros;2 Vagas;Rua Lauro Linhares, 925 - Trindade, Florianópolis - SC;R$ 2.700 /mês
31;Sala/Conjunto para Aluguel, 30m²;46;-- Quarto;1 Banheiro;-- Vaga;Santo Antônio de Lisboa, Florianópolis - SC;R$ 2.000 /mês
32;Apartamento com 2 Quartos para Aluguel, 68m²;182 m²;2 Quartos;1 Banheiro;1 Vaga;Rua Felipe Schmidt, 835 - Centro, Florianópolis - SC;R$ 4.000 /mês
33;Casa com Quarto para Aluguel, 420m²;182;1 Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 22.000 /mês
34;Casa com 4 Quartos para Aluguel, 280m²;67 m²;4 Quartos;4 Banheiros;2 Vagas;Rua das Manjubas - Jurerê Internacional, Florianópolis - SC;R$ 3.900 /dia
35;Casa com Quarto para Aluguel, 245m²;67;1 Quarto;4 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 14.000 /mês
0;Ponto comercial/Loja/Box para Aluguel, 67m²;67 m²;-- Quarto;-- Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 6.052 /mês
1;Ponto comercial/Loja/Box com Quarto para Aluguel, 120m²;67;1 Quarto;2 Banheiros;6 Vagas;Avenida Santa Catarina, 1313 - Balneário, Florianópolis - SC;R$ 4.100 /mês
2;Casa com 3 Quartos para Aluguel, 120m²;120 m²;3 Quartos;2 Banheiros;2 Vagas;Campeche, Florianópolis - SC;R$ 4.000 /mês
3;Casa com 3 Quartos para Aluguel, 280m²;120;3 Quartos;4 Banheiros;2 Vagas;Santa Mônica, Florianópolis - SC;R$ 6.200 /mês
