;area;room;bath;garage;price;ext_area;property;zone
52;45;3;2;1;21000;130;residential;north
53;45;5;6;0;135000;400;residential;north
54;91;4;5;2;75000;330;residential;north
55;91;4;2;3;6000;240;residential;south
56;88;2;3;2;8000;81;residential;midtown
57;88;4;4;4;54000;250;residential;north
58;70;2;2;1;13500;75;residential;north
59;70;0;1;1;1350;45;commercial;continental
60;266;0;0;0;23870;217;commercial;midtown
61;266;3;3;2;3740;106;residential;continental
62;48;0;1;1;1200;45;commercial;midtown
63;48;4;5;8;12000;450;residential;midtown
64;30;2;1;3;1750;70;residential;south
65;30;3;3;2;4300;205;residential;north
66;83;1;1;1;2000;61;residential;midtown
67;83;1;1;1;11400;48;residential;north
68;130;2;1;1;1700;80;residential;north
69;130;1;1;1;10500;67;residential;north
70;400;3;3;2;7000;407;residential;south
71;400;2;3;2;3000;100;residential;north
72;219;4;4;2;3950;219;residential;midtown
73;219;2;3;4;8000;200;residential;south
74;200;0;1;2;4000;0;commercial;midtown
75;200;4;2;3;6000;130;residential;south
76;0;3;1;1;1750;75;residential;midtown
77;0;4;5;4;15000;600;residential;midtown
78;130;1;3;0;7000;166;residential;midtown
79;130;3;4;2;8000;396;residential;continental
80;75;1;1;1;13500;46;residential;north
81;75;2;1;1;1600;82;residential;midtown
82;600;2;2;2;8000;146;residential;midtown
83;600;3;1;1;2500;85;residential;midtown
84;166;6;4;4;12000;400;residential;midtown
85;166;2;1;1;1400;52;residential;midtown
86;396;0;0;0;3000;86;commercial;midtown
87;396;2;2;0;2800;90;residential;east
88;46;2;2;1;1600;58;residential;north
89;46;0;1;1;1200;30;commercial;midtown
90;82;2;1;1;2300;67;residential;midtown
91;82;2;2;1;15000;90;residential;north
92;146;4;2;1;2850;100;residential;midtown
93;146;0;1;1;1450;32;commercial;midtown
94;85;2;3;1;1650;79;residential;north
95;85;3;3;5;37500;250;residential;north
96;400;3;1;1;1570;80;residential;midtown
97;400;5;4;5;39000;334;residential;south
98;52;2;2;1;12000;72;residential;north
99;52;2;1;1;2600;72;residential;midtown
100;86;3;2;1;6200;144;residential;midtown
101;86;2;2;1;19500;85;residential;north
102;90;2;2;1;2200;81;residential;midtown
103;90;0;1;0;1150;52;commercial;midtown
104;58;2;1;1;1850;79;residential;continental
105;58;2;3;1;8124;76;residential;midtown
106;30;2;3;1;6643;81;residential;midtown
107;30;1;1;1;1250;40;residential;midtown
108;284;4;2;1;5900;284;residential;south
109;284;4;4;3;4500;220;residential;east
110;220;2;1;0;1200;43;residential;continental
111;220;3;1;1;1800;69;residential;midtown
112;43;4;3;2;82500;214;residential;north
113;43;2;2;1;2900;70;residential;south
114;69;1;1;0;990;20;residential;midtown
115;69;4;5;4;210000;350;residential;north
116;214;1;1;0;950;35;residential;midtown
117;214;3;2;2;2200;87;residential;midtown
118;70;1;1;0;1300;57;residential;midtown
119;70;2;1;1;1680;75;residential;midtown
120;20;6;8;2;450000;480;residential;north
121;20;4;2;3;6000;130;residential;south
122;350;2;3;1;2600;79;residential;midtown
123;350;0;1;0;3500;70;commercial;east
124;35;3;2;1;1800;92;residential;midtown
125;35;2;1;1;1300;60;residential;north
126;87;1;2;0;5000;123;residential;midtown
127;87;0;1;0;2000;25;commercial;north
128;57;1;1;0;6900;35;residential;north
129;57;7;3;4;36000;130;residential;north
130;75;3;4;2;11000;396;residential;continental
131;75;4;5;9;30000;600;residential;north
132;480;0;1;0;1300;27;commercial;east
133;480;3;3;2;3740;106;residential;continental
134;130;4;4;2;8000;153;residential;midtown
135;130;0;4;5;8900;449;commercial;midtown
136;79;3;3;3;8391;239;residential;continental
137;79;2;3;2;7082;70;residential;midtown
138;70;2;1;1;1850;79;residential;continental
139;70;2;1;2;1800;49;residential;continental
140;92;3;3;3;36000;100;residential;north
141;92;2;2;1;19500;85;residential;north
142;60;3;1;2;2354;78;residential;continental
143;60;5;4;2;60000;280;residential;north
144;49;2;1;2;1800;49;residential;continental
145;49;0;1;0;800;26;commercial;midtown
146;26;0;1;0;3500;70;commercial;east
147;26;2;2;1;19500;85;residential;north
148;70;1;2;0;5000;123;residential;midtown
149;70;3;1;2;2354;78;residential;continental
150;85;5;4;2;60000;280;residential;north
151;85;5;7;2;16000;323;residential;north
152;123;0;1;0;1100;52;commercial;midtown
153;123;0;2;1;5750;250;commercial;north
154;78;3;2;1;2500;83;residential;midtown
155;78;1;1;1;2100;31;residential;midtown
156;280;5;5;2;74970;320;residential;north
157;280;2;2;1;1700;59;residential;south
158;323;3;2;0;16500;200;residential;south
159;323;2;1;0;3800;60;residential;south
160;52;0;1;0;2000;44;commercial;east
161;52;0;0;1;1150;34;commercial;midtown
162;250;3;2;2;36000;115;residential;north
163;250;2;1;1;9600;70;residential;north
164;83;1;1;1;9900;50;residential;north
165;83;3;3;2;42000;145;residential;north
166;31;1;1;2;1980;70;residential;south
167;31;7;7;2;15000;350;residential;east
168;320;9;1;0;55000;720;residential;east
169;320;0;4;1;28500;800;commercial;midtown
170;59;2;2;1;2400;84;residential;midtown
171;59;3;1;2;2300;107;residential;midtown
172;200;0;0;0;962;10;commercial;midtown
173;200;0;1;0;800;30;commercial;midtown
174;60;2;1;1;2100;80;residential;south
175;60;2;2;1;3426;67;residential;continental
176;44;3;1;2;3850;107;residential;continental
177;44;2;1;1;1800;88;residential;continental
178;34;1;1;0;2563;21;residential;midtown
179;34;4;5;2;18000;350;residential;north
180;88;2;1;1;1800;88;residential;continental
